addressLine1,addressLine2,city,state,postalCode,country
123 Maple St,Apt 2,New York,NY,10001,United States
456 Oak Ave,Suite 300,Los Angeles,CA,90001,United States
789 Pine Dr,Unit 5B,Chicago,IL,60601,United States
321 Birch Blvd,,Houston,TX,77001,United States
654 Elm St,Apt 4C,Phoenix,AZ,85001,United States
987 Cedar Rd,,Philadelphia,PA,19101,United States
159 Spruce Ln,,San Antonio,TX,78201,United States
753 Willow Cir,Suite 10,San Diego,CA,92101,United States
852 Palm Ave,,Dallas,TX,75201,United States
951 Hickory St,Apt 7,San Jose,CA,95101,United States
248 Magnolia Ct,,Austin,TX,73301,United States
134 Redwood Dr,,Jacksonville,FL,32201,United States
467 Sycamore St,Apt 12,San Francisco,CA,94101,United States
679 Dogwood Ln,,Indianapolis,IN,46201,United States
890 Poplar Ave,Suite 20,Columbus,OH,43085,United States
907 Walnut St,,Fort Worth,TX,76101,United States
543 Beech Dr,Unit 6A,Charlotte,NC,28201,United States
123 Chestnut St,,Detroit,MI,48201,United States
456 Alder Ave,,Seattle,WA,98101,United States
789 Maple Dr,Apt 3B,Denver,CO,80201,United States
321 Cypress Cir,,El Paso,TX,79901,United States
654 Fir St,,Nashville,TN,37201,United States
987 Juniper Rd,,Boston,MA,02101,United States
159 Willow Ln,,Memphis,TN,38101,United States
753 Birch Cir,Suite 4,Portland,OR,97201,United States
852 Cedar Ave,,Las Vegas,NV,89101,United States
951 Oak St,,Louisville,KY,40201,United States
248 Maple Ct,,Baltimore,MD,21201,United States
134 Pine Dr,,Milwaukee,WI,53201,United States
467 Spruce St,Apt 5,Albuquerque,NM,87101,United States
679 Redwood Ln,Unit 2C,Tucson,AZ,85701,United States
890 Chestnut Ave,,Fresno,CA,93701,United States
907 Oak St,,Sacramento,CA,94203,United States
543 Alder Dr,Suite 15,Kansas City,MO,64101,United States
123 Cedar St,,Atlanta,GA,30301,United States
456 Maple Ave,Apt 9B,Miami,FL,33101,United States
789 Pine Cir,,Raleigh,NC,27601,United States
321 Spruce Dr,,Omaha,NE,68101,United States
654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States
987 Dogwood Rd,,Minneapolis,MN,55401,United States
159 Sycamore Ln,,Wichita,KS,67201,United States
753 Chestnut Cir,,New Orleans,LA,70112,United States
852 Maple Ave,,Cleveland,OH,44101,United States
951 Oak St,Apt 7A,Tampa,FL,33601,United States
248 Birch Blvd,,Arlington,TX,76001,United States
134 Pine Ave,Suite 12,Bakersfield,CA,93301,United States
467 Cedar St,,Anaheim,CA,92801,United States
679 Spruce Ln,,Santa Ana,CA,92701,United States
