orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber
1723,['S016  ' 'S097  ' 'S047  '],"[83, 86, 100]","[27.94, 383.86, 372.83]",96
6917,['S002  '],[95],[892.54],55
3525,['S034  ' 'S002  '],"[71, 84]","[897.72, 89.9]",19
6623,['S058  ' 'S091  ' 'S073  '],"[41, 74, 51]","[247.7, 136.27, 281.02]",66
3823,['S047  ' 'S094  ' 'S092  '],"[61, 41, 78]","[94.97, 615.86, 654.58]",46
3254,['S041  ' 'S071  ' 'S040  '],"[66, 60, 53]","[700.02, 130.45, 362.0]",28
4676,['S066  ' 'S095  ' 'S071  '],"[32, 56, 79]","[629.07, 908.3, 446.58]",38
3614,['S019  ' 'S057  ' 'S072  ' 'S082  '],"[63, 12, 12, 27]","[450.48, 881.91, 15.3, 224.33]",36
2218,['S100  '],[60],[271.33],27
7308,['S099  ' 'S051  '],"[61, 78]","[401.65, 677.31]",75
3648,['S017  ' 'S052  ' 'S039  ' 'S014  '],"[40, 70, 17, 50]","[855.64, 279.34, 914.07, 998.11]",38
6138,['S059  ' 'S089  ' 'S064  '],"[60, 39, 16]","[572.87, 712.35, 681.88]",58
5884,['S073  ' 'S029  ' 'S034  '],"[22, 62, 49]","[739.23, 466.39, 591.77]",84
4369,['S080  '],[86],[811.5],92
3217,['S029  ' 'S065  ' 'S092  ' 'S070  '],"[80, 66, 40, 19]","[821.9, 988.34, 189.87, 127.18]",59
1190,['S052  ' 'S034  ' 'S095  '],"[78, 90, 50]","[331.6, 884.75, 286.75]",7
4557,['S066  ' 'S062  '],"[88, 23]","[41.29, 357.28]",40
2841,['S100  ' 'S080  ' 'S003  '],"[64, 16, 99]","[536.31, 377.03, 578.35]",37
8408,['S062  ' 'S078  ' 'S029  ' 'S064  '],"[51, 94, 58, 87]","[372.07, 728.76, 726.4, 517.2]",73
4665,['S004  ' 'S034  ' 'S020  '],"[34, 2, 50]","[732.47, 919.83, 447.52]",80
2416,['S036  ' 'S040  ' 'S056  '],"[87, 43, 40]","[350.62, 338.19, 616.72]",44
2494,['S044  ' 'S065  '],"[10, 49]","[406.2, 855.88]",60
4622,['S009  ' 'S042  ' 'S038  ' 'S074  '],"[44, 39, 71, 12]","[273.31, 373.06, 220.19, 90.17]",97
9519,['S022  ' 'S098  ' 'S076  '],"[75, 47, 49]","[270.99, 161.88, 511.79]",28
5064,['S002  ' 'S066  ' 'S025  ' 'S088  '],"[5, 2, 3, 82]","[425.47, 950.37, 410.41, 765.03]",20
7879,['S017  ' 'S053  ' 'S100  '],"[24, 43, 12]","[515.75, 99.29, 206.79]",24
2555,['S098  ' 'S054  ' 'S041  '],"[66, 77, 11]","[610.95, 583.39, 425.59]",85
9545,['S077  '],[13],[769.7],41
6427,['S057  '],[59],[275.76],95
4624,['S057  ' 'S032  '],"[37, 77]","[135.42, 297.94]",48
9858,['S026  '],[42],[79.56],79
5651,['S064  ' 'S026  ' 'S065  ' 'S018  '],"[55, 99, 71, 29]","[927.46, 66.7, 739.49, 449.37]",71
7196,['S057  '],[45],[273.91],95
1563,['S046  '],[12],[744.66],86
3465,['S043  '],[25],[427.48],96
5707,['S034  ' 'S002  '],"[89, 86]","[264.54, 11.54]",74
8959,['S053  ' 'S066  ' 'S100  '],"[20, 39, 15]","[462.63, 413.86, 749.46]",97
9294,['S089  ' 'S038  ' 'S093  '],"[51, 45, 21]","[768.85, 595.71, 228.29]",77
8294,['S039  ' 'S046  ' 'S010  '],"[34, 20, 3]","[563.96, 464.62, 763.13]",75
9987,['S089  ' 'S025  ' 'S094  '],"[7, 59, 80]","[699.82, 647.68, 572.28]",85
1736,['S099  ' 'S010  ' 'S037  ' 'S073  '],"[88, 92, 79, 92]","[614.87, 491.88, 38.42, 578.89]",41
5152,['S056  ' 'S064  ' 'S042  ' 'S015  '],"[9, 48, 97, 99]","[259.31, 71.35, 892.21, 275.46]",77
7414,['S088  ' 'S052  '],"[28, 17]","[375.68, 592.05]",99
6757,['S039  ' 'S080  ' 'S096  '],"[26, 56, 19]","[115.31, 350.8, 585.07]",82
9437,['S091  '],[86],[961.34],51
4562,['S045  ' 'S084  ' 'S083  '],"[1, 13, 42]","[179.41, 642.77, 803.76]",59
7962,['S055  ' 'S061  '],"[7, 72]","[843.2, 330.97]",69
2143,['S068  ' 'S003  '],"[46, 35]","[14.67, 361.36]",83
1517,['S039  '],[19],[214.68],2
4336,['S001  ' 'S050  ' 'S067  '],"[75, 13, 12]","[41.97, 485.36, 260.32]",70
2711,['S053  ' 'S081  ' 'S029  '],"[92, 53, 45]","[800.7, 560.06, 344.09]",11
4675,['S026  ' 'S064  ' 'S085  '],"[28, 46, 96]","[862.23, 878.89, 143.84]",5
9276,['S069  ' 'S096  ' 'S042  ' 'S012  '],"[19, 28, 6, 25]","[105.11, 122.7, 123.49, 424.64]",45
6691,['S066  ' 'S080  ' 'S017  ' 'S063  '],"[64, 27, 36, 36]","[604.75, 534.59, 805.45, 463.73]",68
4899,['S068  ' 'S059  ' 'S026  ' 'S021  '],"[45, 82, 25, 99]","[985.83, 232.88, 252.55, 273.67]",2
2998,['S059  ' 'S062  ' 'S040  ' 'S100  '],"[15, 80, 17, 31]","[923.69, 589.72, 766.05, 917.6]",40
5541,['S016  ' 'S082  '],"[82, 14]","[990.75, 511.63]",71
2061,['S024  ' 'S019  ' 'S035  ' 'S066  '],"[84, 68, 52, 27]","[339.97, 36.16, 265.82, 258.89]",95
4905,['S078  ' 'S081  ' 'S014  ' 'S018  '],"[64, 36, 79, 59]","[634.1, 579.55, 134.91, 679.98]",2
8547,['S015  ' 'S060  ' 'S009  ' 'S014  '],"[74, 92, 56, 31]","[527.04, 467.56, 916.34, 166.39]",23
7216,['S062  '],[93],[973.08],51
5439,['S014  '],[36],[748.27],15
4231,['S077  ' 'S089  ' 'S074  '],"[61, 38, 35]","[707.06, 635.47, 661.43]",34
1086,['S094  ' 'S041  '],"[5, 49]","[196.81, 987.54]",96
9311,['S079  ' 'S017  ' 'S096  ' 'S097  '],"[72, 20, 63, 26]","[954.89, 698.56, 991.11, 647.68]",74
5277,['S038  ' 'S008  '],"[9, 84]","[708.23, 964.17]",11
2914,['S084  '],[4],[370.43],60
9626,['S029  ' 'S017  '],"[78, 38]","[721.49, 927.19]",91
9775,['S046  ' 'S090  '],"[97, 92]","[405.39, 110.4]",29
7900,['S001  ' 'S047  ' 'S082  '],"[75, 8, 50]","[993.47, 822.5, 339.96]",26
2384,['S048  ' 'S013  ' 'S050  ' 'S041  '],"[72, 86, 67, 97]","[84.12, 99.8, 186.01, 15.59]",92
3166,['S072  ' 'S030  ' 'S006  '],"[92, 12, 89]","[19.83, 310.82, 723.66]",36
2467,['S032  ' 'S086  ' 'S075  ' 'S047  '],"[92, 60, 50, 43]","[355.44, 161.16, 742.71, 948.53]",63
1350,['S019  ' 'S040  '],"[52, 2]","[621.13, 86.27]",80
2891,['S074  ' 'S077  '],"[24, 12]","[34.98, 747.94]",20
2118,['S028  '],[31],[783.2],47
8044,['S001  ' 'S033  ' 'S079  ' 'S087  '],"[86, 63, 86, 95]","[860.01, 464.01, 131.54, 88.98]",1
4821,['S052  ' 'S062  ' 'S032  '],"[81, 62, 30]","[438.64, 202.63, 711.6]",36
4491,['S055  ' 'S011  ' 'S032  ' 'S083  '],"[79, 87, 4, 72]","[803.91, 171.04, 612.35, 297.48]",97
7229,['S028  ' 'S074  '],"[35, 25]","[732.16, 913.83]",57
2780,['S052  ' 'S018  ' 'S022  ' 'S065  '],"[87, 97, 13, 73]","[502.04, 178.61, 247.63, 531.99]",6
9274,['S014  ' 'S003  '],"[26, 50]","[31.74, 367.62]",66
9749,['S047  ' 'S009  ' 'S015  '],"[52, 82, 100]","[768.52, 344.55, 921.84]",72
4632,['S011  ' 'S100  '],"[52, 29]","[367.32, 169.09]",81
8129,['S096  ' 'S040  '],"[66, 43]","[114.28, 343.6]",55
2012,['S088  ' 'S098  ' 'S033  ' 'S071  '],"[35, 32, 14, 54]","[625.74, 456.6, 994.5, 502.19]",62
6853,['S005  ' 'S054  '],"[94, 62]","[727.25, 789.75]",70
8368,['S002  '],[88],[386.62],51
4277,['S019  '],[71],[813.5],16
4360,['S054  ' 'S004  ' 'S024  ' 'S085  '],"[39, 50, 91, 60]","[90.25, 680.5, 152.92, 359.28]",64
9784,['S077  '],[17],[111.95],18
6410,['S058  ' 'S084  ' 'S062  ' 'S027  '],"[43, 59, 45, 66]","[176.61, 51.67, 475.49, 731.9]",41
1816,['S013  ' 'S062  ' 'S025  '],"[44, 10, 16]","[130.45, 975.68, 205.74]",85
1053,['S022  '],[12],[720.61],94
4127,['S097  ' 'S060  ' 'S043  '],"[76, 91, 89]","[821.39, 614.65, 962.08]",44
5637,['S043  ' 'S077  ' 'S019  '],"[25, 11, 64]","[751.55, 269.38, 237.95]",5
3788,['S066  ' 'S077  ' 'S002  '],"[70, 17, 70]","[535.99, 857.33, 279.04]",39
9150,['S097  '],[51],[243.61],82
4383,['S075  ' 'S029  ' 'S070  ' 'S024  '],"[98, 25, 59, 71]","[681.55, 886.6, 309.22, 996.12]",100
9236,['S031  ' 'S098  '],"[67, 29]","[744.44, 671.97]",34
9283,['S024  ' 'S047  '],"[63, 94]","[125.32, 246.74]",32
8940,['S085  ' 'S096  '],"[68, 35]","[159.13, 596.53]",76
5607,['S093  ' 'S067  ' 'S010  '],"[20, 57, 74]","[546.42, 899.51, 46.51]",1
1252,['S074  ' 'S064  ' 'S071  ' 'S069  '],"[59, 32, 81, 73]","[429.52, 470.08, 633.91, 92.97]",93
6337,['S011  ' 'S073  '],"[96, 27]","[821.38, 560.22]",3
4662,['S026  ' 'S061  ' 'S090  '],"[49, 55, 7]","[785.87, 216.18, 391.21]",63
4989,['S058  ' 'S015  ' 'S037  ' 'S010  '],"[80, 42, 75, 1]","[286.48, 719.23, 20.76, 126.64]",49
7311,['S057  ' 'S078  ' 'S050  '],"[91, 59, 85]","[749.48, 25.29, 663.43]",69
4242,['S088  '],[9],[256.73],56
3584,['S021  ' 'S042  ' 'S058  '],"[90, 42, 1]","[442.61, 601.4, 846.31]",3
1172,['S027  ' 'S041  '],"[100, 74]","[714.04, 180.56]",29
4417,['S063  ' 'S006  '],"[49, 52]","[875.38, 19.96]",56
4305,['S021  ' 'S002  ' 'S027  '],"[38, 77, 40]","[880.46, 914.63, 376.96]",13
4831,['S089  '],[47],[947.86],89
1301,['S086  ' 'S060  ' 'S077  ' 'S018  '],"[46, 95, 34, 54]","[64.49, 663.83, 952.02, 703.22]",79
8611,['S044  ' 'S022  '],"[49, 70]","[926.19, 46.66]",63
1298,['S039  ' 'S047  '],"[9, 52]","[157.13, 342.22]",65
9233,['S034  '],[83],[500.13],78
3563,['S087  ' 'S053  '],"[14, 38]","[48.19, 278.66]",34
4585,['S069  ' 'S034  '],"[29, 57]","[154.28, 969.56]",29
5157,['S022  ' 'S012  ' 'S061  ' 'S036  '],"[4, 87, 69, 88]","[372.54, 941.53, 82.58, 495.51]",19
1111,['S034  ' 'S073  '],"[1, 3]","[641.07, 924.61]",11
4975,['S013  '],[21],[249.89],33
1001,['S005  ' 'S050  '],"[94, 1]","[661.19, 546.76]",63
9168,['S030  ' 'S082  ' 'S037  '],"[62, 60, 97]","[400.06, 626.19, 139.23]",71
1107,['S056  ' 'S062  ' 'S012  '],"[95, 31, 81]","[238.69, 826.66, 231.79]",10
7134,['S098  ' 'S086  ' 'S078  '],"[15, 77, 14]","[45.71, 517.5, 310.24]",88
9408,['S019  ' 'S028  ' 'S021  ' 'S053  '],"[61, 88, 62, 9]","[879.29, 219.02, 765.6, 111.26]",41
1452,['S015  ' 'S091  ' 'S054  '],"[87, 83, 94]","[499.5, 173.93, 223.16]",99
4162,['S008  ' 'S051  '],"[47, 45]","[797.91, 135.56]",63
4241,['S058  ' 'S085  ' 'S030  '],"[90, 32, 72]","[952.81, 931.57, 291.9]",61
4938,['S100  ' 'S031  ' 'S042  ' 'S087  '],"[34, 12, 8, 39]","[750.8, 968.43, 732.01, 570.25]",33
8224,['S033  ' 'S055  ' 'S072  '],"[81, 73, 25]","[600.49, 830.1, 370.62]",54
3979,['S062  ' 'S071  ' 'S031  '],"[85, 27, 97]","[848.34, 370.5, 869.38]",28
3707,['S035  ' 'S009  ' 'S036  ' 'S026  '],"[5, 13, 42, 15]","[417.05, 399.78, 164.25, 199.44]",29
6024,['S040  ' 'S069  ' 'S070  '],"[42, 33, 20]","[268.16, 965.25, 651.57]",98
5553,['S053  ' 'S018  ' 'S032  '],"[62, 81, 92]","[927.73, 13.26, 713.79]",80
4079,['S078  ' 'S001  ' 'S010  '],"[18, 7, 5]","[660.54, 738.73, 946.94]",50
4518,['S098  '],[17],[213.02],91
6860,['S077  ' 'S054  ' 'S074  ' 'S049  '],"[24, 69, 10, 57]","[991.95, 300.24, 762.64, 568.84]",76
3431,['S038  ' 'S100  '],"[59, 43]","[193.08, 812.76]",5
3229,['S080  ' 'S005  '],"[64, 72]","[54.1, 723.07]",66
4991,['S058  '],[97],[556.03],75
2394,['S062  ' 'S076  ' 'S054  ' 'S012  '],"[20, 94, 5, 18]","[598.63, 752.42, 300.53, 458.89]",90
7759,['S039  ' 'S048  ' 'S031  '],"[69, 75, 45]","[586.04, 193.39, 362.09]",87
6100,['S097  '],[34],[649.24],40
5087,['S021  '],[57],[518.64],49
1507,['S087  ' 'S057  '],"[51, 52]","[498.88, 848.93]",28
9982,['S045  ' 'S089  ' 'S002  '],"[75, 45, 63]","[154.14, 191.61, 273.77]",22
3301,['S025  ' 'S068  ' 'S093  ' 'S022  '],"[100, 24, 56, 52]","[589.96, 976.27, 503.59, 962.05]",85
9194,['S077  ' 'S080  ' 'S037  '],"[89, 34, 61]","[44.42, 257.14, 219.53]",88
6567,['S017  '],[36],[863.87],61
3978,['S030  ' 'S027  '],"[60, 80]","[465.75, 780.43]",83
5986,['S031  ' 'S050  '],"[59, 95]","[297.94, 184.46]",80
3477,['S059  '],[29],[578.79],69
6880,['S011  ' 'S018  '],"[86, 78]","[459.38, 805.15]",93
1949,['S074  ' 'S032  ' 'S056  ' 'S094  '],"[14, 47, 99, 47]","[881.83, 352.9, 513.91, 592.24]",43
4811,['S098  ' 'S092  ' 'S014  '],"[8, 7, 59]","[576.27, 358.3, 197.88]",59
7388,['S092  '],[1],[668.83],92
6595,['S020  '],[86],[106.72],39
6851,['S011  ' 'S079  ' 'S086  ' 'S094  '],"[60, 34, 71, 99]","[839.32, 976.69, 822.27, 727.17]",29
9396,['S099  ' 'S013  ' 'S083  '],"[42, 23, 25]","[287.45, 627.27, 343.24]",46
6646,['S006  ' 'S042  ' 'S073  ' 'S047  '],"[72, 93, 36, 41]","[397.93, 822.79, 579.62, 206.93]",85
5763,['S064  ' 'S086  ' 'S021  ' 'S094  '],"[96, 25, 65, 66]","[159.26, 417.02, 724.7, 849.2]",9
8635,['S037  ' 'S072  '],"[26, 2]","[703.76, 296.32]",55
2311,['S039  ' 'S078  ' 'S091  '],"[15, 89, 94]","[500.79, 911.65, 374.61]",57
6240,['S013  ' 'S100  ' 'S015  ' 'S075  '],"[95, 60, 41, 91]","[681.72, 959.01, 239.66, 951.71]",47
5527,['S014  ' 'S048  ' 'S068  '],"[31, 18, 90]","[969.11, 957.86, 834.04]",76
2254,['S079  ' 'S057  ' 'S027  ' 'S033  '],"[72, 24, 71, 78]","[689.81, 146.2, 591.45, 908.31]",15
8431,['S030  ' 'S020  '],"[48, 14]","[999.44, 464.17]",2
8400,['S070  '],[88],[256.16],34
3331,['S057  ' 'S035  ' 'S061  '],"[91, 11, 70]","[493.97, 792.44, 796.89]",31
8931,['S055  '],[20],[204.19],46
4635,['S065  ' 'S090  '],"[81, 31]","[958.6, 932.94]",98
1407,['S028  ' 'S002  ' 'S021  '],"[5, 46, 26]","[849.42, 806.96, 427.63]",90
8534,['S017  '],[49],[920.66],18
5204,['S054  ' 'S068  ' 'S064  ' 'S049  '],"[96, 88, 80, 56]","[27.87, 737.08, 323.79, 406.97]",7
4289,['S055  ' 'S048  ' 'S022  ' 'S043  '],"[71, 45, 27, 91]","[292.35, 916.06, 504.36, 487.15]",38
7573,['S099  ' 'S096  '],"[22, 6]","[974.44, 531.42]",36
3093,['S072  ' 'S074  '],"[11, 44]","[644.52, 627.16]",94
6653,['S070  ' 'S051  '],"[12, 18]","[732.45, 937.24]",91
2812,['S054  ' 'S003  '],"[43, 63]","[439.32, 165.94]",15
6198,['S077  ' 'S003  ' 'S033  '],"[72, 24, 28]","[741.85, 158.46, 613.46]",4
3918,['S026  ' 'S076  ' 'S009  '],"[94, 13, 75]","[267.53, 709.67, 250.56]",99
1796,['S043  ' 'S004  ' 'S040  '],"[83, 46, 57]","[877.44, 421.12, 809.4]",53
3344,['S041  ' 'S096  ' 'S094  ' 'S068  '],"[25, 90, 48, 97]","[518.19, 196.5, 341.67, 857.44]",73
6298,['S002  ' 'S050  ' 'S088  '],"[96, 89, 98]","[397.68, 988.82, 643.68]",16
4304,['S038  ' 'S079  ' 'S005  ' 'S023  '],"[44, 21, 49, 79]","[427.18, 636.43, 84.36, 627.7]",52
7680,['S087  ' 'S054  '],"[96, 70]","[281.0, 955.82]",77
3491,['S014  '],[62],[132.97],30
3840,['S032  '],[74],[311.5],27
