showroom_id,showroom_name,location,manager_id,contact_number,opening_hours,capacity,description,brand_id,created_at
SHRM56795,Morales-Harris,Port Sara,MGR02475,288.281.4896x6809,21:50:31,166,Their who benefit culture.,BRND08671,2021-12-06 07:23:58
SHRM55232,Carr-Ramirez,Port Mark,MGR13459,930.346.1584x40286,05:38:19,334,Yard sing reality sport relationship page.,BRND37038,2020-02-10 19:11:24
SHRM61195,"Rodriguez, Clarke and Black",Meadowsfurt,MGR30914,+1-371-266-1301x33914,19:33:47,346,Down avoid manager discuss group nor.,BRND54331,2021-09-09 22:52:28
SHRM42852,"Torres, Sosa and Esparza",Dorseyberg,MGR95335,905.630.5614x91980,15:59:41,289,Within itself without protect.,BRND85417,2021-01-09 09:57:32
SHRM14642,"Hutchinson, Jones and Merritt",Alyssashire,MGR86850,(296)765-1835x46021,07:55:18,41,Fill leg pressure born around.,BRND65179,2024-12-14 17:59:06
SHRM44307,Hill-Roy,West Amberchester,MGR66151,3756683605,21:21:11,110,To thank while.,BRND18589,2023-03-30 01:04:03
SHRM76509,Fields and Sons,West Ashleyton,MGR41432,9139176134,00:10:57,23,When always all statement.,BRND42041,2020-09-01 02:10:36
SHRM32903,Lewis-Young,West Emilyhaven,MGR75228,(518)847-9911x7626,09:55:07,272,Lot later perhaps happen tend campaign either.,BRND77836,2020-03-06 20:23:35
SHRM58052,Esparza-Cooper,North Denise,MGR87339,839-353-6082x51950,15:10:27,128,Ask since rather particularly.,BRND17771,2024-01-21 08:26:17
SHRM06633,Potts-Scott,Lake Cassidy,MGR69051,001-260-326-5114,05:38:52,122,Tell station standard might.,BRND24460,2021-08-11 10:26:32
SHRM07326,"Watson, Brooks and Watts",Jonesbury,MGR90164,886.520.1985,18:08:09,57,Respond recognize process along party.,BRND65405,2021-10-19 06:18:03
SHRM97501,Howe-Anderson,Scottmouth,MGR82906,2929774415,10:28:49,487,Song among these interesting stuff.,BRND63089,2020-09-12 01:34:00
SHRM96423,Powers-Elliott,Veronicastad,MGR48488,909-220-7929,13:46:51,176,Analysis shake high data week education bring.,BRND38416,2023-01-06 08:03:57
SHRM45822,"Johnson, Gilbert and Parker",Port Erikastad,MGR52661,001-606-553-4244x6924,15:29:33,350,Ask easy father medical consumer small.,BRND69852,2023-07-28 18:45:10
SHRM36719,"Gonzales, Sanders and Ballard",Alvarezville,MGR93640,(401)715-5634x94610,09:19:00,84,Husband artist old at black.,BRND76579,2023-05-19 03:24:07
SHRM72061,Mcclain PLC,North Sara,MGR34417,001-921-540-6185,16:11:15,150,Increase project late reality put.,BRND57253,2021-11-12 13:26:28
SHRM85338,"Hernandez, Wright and Hill",Thomasview,MGR10524,+1-926-296-1353x764,01:03:32,253,Clearly low find international.,BRND06314,2021-04-15 15:01:20
SHRM31233,Kelly-Williamson,Justinton,MGR78222,(229)457-5871,07:38:40,49,Heart ground wind investment player.,BRND35687,2020-04-11 15:37:43
