order_id  ,customer_id  ,product_id  ,order_date  ,order_status  
ORD001,CUST1001,PROD2001,2023-10-01,Shipped
ORD002,CUST1002,PROD2002,2023-10-02,Processing
ORD003,CUST1003,PROD2003,2023-10-03,Delivered
ORD004,CUST1004,PROD2004,2023-10-04,Canceled
ORD005,CUST1005,PROD2005,2023-10-05,Returned
ORD006,CUST1006,PROD2006,2023-10-06,Shipped
ORD007,CUST1007,PROD2007,2023-10-07,Processing
ORD008,CUST1008,PROD2008,2023-10-08,Delivered
ORD009,CUST1009,PROD2009,2023-10-09,Canceled
ORD010,CUST1010,PROD2010,2023-10-10,Shipped
